5 10
5 5 1 23 22
1 1 1 1 1 
22 1 1 23 1 
23 1 1 22 1 
1 1 3 1 1 
1 1 1 1 1
4 1 1 1 1 
4 1 3 1 1 
1 1 1 1 1 
1 1 6 1 1

% 0 -> No Floor
% 1 -> Empty
% 2 -> Cauldron
% 3 -> Candle
% 4 -> Shelf Right
% 5 -> Shelf Down
% 6 -> Player
% 7 -> Bat
% 8 -> Spike
% 9 -> Slime
% 10 -> Barrel
% 11 -> Zombie
% 12 -> Witch
% 13 -> Arrow Trap Shoot Up
% 14 -> Arrow Trap Shoot Right
% 15 -> Arrow Trap Shoot Down
% 16 -> Arrow Trap Shoot Left
% 17 -> AxeTrap Hit Up
% 18 -> AxeTrap Hit Right
% 19 -> AxeTrap Hit Down
% 20 -> AxeTrap Hit Left
% 21 -> Coin
% 22 -> Weapon Rack
% 23 -> Weapon Rack Inverted
